Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula
996,AB5,Dy1Ga0.75Ni4.25,0.8,30.1,20.0,6.0,"Miletic, 2000",1213.0,,,,DyNi4.25Ga.75
997,AB5,Dy1Al0.5Ni4.5,1.0,27.3,20.0,20.0,"Sorgic, 1996",635.0,,,,DyNi4.5Al.5
998,AB5,DyAlNi4,0.8,35.4,20.0,0.6,"Sorgic, 1996",635.0,,,,DyNi4Al
1000,AB5,Er1Al1.5Ni3.5,0.7,39.8,115.0,2.5,"Sorgic, 1996",591.0,,,,ErNi3.5Al1.5
1001,AB5,Er1Al0.5Ni4.5,0.8,25.4,0.0,25.0,"Sorgic, 1996",591.0,,,,ErNi4.5Al.5
1002,AB5,ErAlNi4,0.9,32.4,0.0,2.1,"Sorgic, 1996",591.0,,,,ErNi4Al
1003,AB5,EuNi5,1.2,26.0,25.0,1.3,"Gavra, 1985",280.0,,,,EuNi5
1004,AB5,GdCo5,0.4,-25.4,21.0,24.0,"van Mal, 1976",103.0,,,,GdCo5
1005,AB5,Gd1Al0.5Ni4.5,0.9,32.7,20.0,7.0,"Sorgic, 1996",635.0,,,,GdNi4.5Al.5
1006,AB5,GdAlNi4,0.9,41.5,20.0,0.2,"Sorgic, 1996",635.0,,,,GdNi4Al
1007,AB5,GdNi5,0.6,-82.5,23.0,120.0,"Anderso, 1973",99.0,,,,GdNi5
1010,AB5,Ho1Al0.5Ni4.5,0.9,24.1,0.0,22.0,"Sorgic, 1996",635.0,,,,HoNi4.5Al.5
1011,AB5,HoAlNi4,0.9,35.9,60.0,4.0,"Sorgic, 1996",635.0,,,,HoNi4Al
1012,AB5,LaFeCuNi3,1.1,37.2,22.0,0.33,"Burnasheva, 1984",1528.0,,,,LaNi3FeCu
1013,AB5,La1Al0.75Ni4.25,1.13,44.1,40.0,0.054,"Diaz, 1979",270.0,,,,LaNi4.25Al.75
1014,AB5,La1Co0.5Ni4.25Sn0.25,1.38,-56.4,25.0,0.4,"Kumar, 1995",263.0,,,,LaNi4.25Co.5Sn.25
1015,AB5,La1Co0.5Ni4.25Sn0.25,1.4,42.5,25.0,0.5,"Zhang, 1996",679.0,,,,LaNi4.25Co.5Sn.25
1016,AB5,La1Co0.75Ni4.25,30.2,-45.2,40.0,1.65,"Joubert, 2000",1512.0,,,,LaNi4.25Co0.75
1017,AB5,La1Ni4.33B0.67,1.0,-45.2,23.0,0.3,"Spada, 1983",438.0,,,,LaNi4.33B.67 (M)
1018,AB5,La1Mn0.4Al0.3Ni4.3,19.2,-40.2,40.0,0.079,"Joubert, 2000",1512.0,,,,LaNi4.3Mn0.4Al0.3
1020,AB5,La1Ni4.4B0.6,0.62,33.5,25.0,0.3,"Mendelsohn, 1980",380.0,,,,LaNi4.4B.6
1021,AB5,La1Zn0.6Ni4.4,1.4,34.8,20.0,0.3,"Rozdzynska-Kielbik, 2000",1198.0,,,,LaNi4.4Zn.6
1022,AB5,La1Al0.45Ni4.55,1.6,-27.8,80.0,2.0,"Nakamura, 1994",590.0,,,,LaNi4.55Al.45
1023,AB5,La1Al0.45Ni4.55,1.3,-37.5,40.0,0.3,"Nasako, 1998",811.0,,,,LaNi4.55Al.45
1024,AB5,La1Al0.5Ni4.5,0.83,-45.8,25.0,0.2,"Latroche, 1995",620.0,,,,LaNi4.5Al.5
1025,AB5,La1Al0.5Ni4.5,1.2,-45.2,100.0,2.1,"Nakamura, 1997",809.0,,,,LaNi4.5Al.5
1026,AB5,La1Al0.5Ni4.5,1.3,-20.5,20.0,0.1,"Sakai, 1990",570.0,,,,LaNi4.5Al.5
1027,AB5,La1Al0.5Ni4.5,1.38,38.6,60.0,0.6,"Mendelsoh, 1979",265.0,,,,LaNi4.5Al.5
1028,AB5,La1Al0.5Ni4.5,1.4,44.4,25.0,0.3,"Oh, 1998",1187.0,,,,LaNi4.5Al.5
1029,AB5,La1Cr0.5Ni4.5,1.3,-45.8,20.0,0.4,"Sakai, 1990",570.0,,,,LaNi4.5Cr.5
1030,AB5,La1Cu0.5Ni4.5,1.3,-57.2,20.0,1.1,"Sakai, 1990",570.0,,,,LaNi4.5Cu.5
1031,AB5,La1Mn0.5Ni4.5,1.4,-20.5,100.0,1.6,"Nakamura, 1997",809.0,,,,LaNi4.5Mn.5
1032,AB5,La1Mn0.5Ni4.5,1.4,-45.3,50.0,0.4,"Nakamura, 2000",1207.0,,,sloping plateau,LaNi4.5Mn.5
1033,AB5,La1Mn0.5Ni4.5,2.8,-45.2,25.0,0.1,"Percheron, 1994",269.0,,,,LaNi4.5Mn.5
1034,AB5,La1Mn0.5Ni4.5,1.5,-35.2,20.0,0.15,"Sakai, 1990",570.0,,,,LaNi4.5Mn.5
1035,AB5,La1Mn0.3Al0.3Ni4.5,1.3,39.3,35.0,0.2,"Filatova, 2000",1524.0,,,,LaNi4.5Mn0.3Al0.3
1036,AB5,La1Ni4.5Pd0.5,1.28,-24.7,25.0,2.1,"Goodell, 1980",256.0,,,,LaNi4.5Pd.5 (M)
1037,AB5,La1Si0.5Ni4.5,1.0,36.5,25.0,0.5,"Meli, 1992",674.0,,,,LaNi4.5Si.5
1038,AB5,La1Mn0.26Al0.13Ni4.61,1.4,-45.2,100.0,3.4,"Nakamura, 1997",809.0,,,,LaNi4.61Mn.26Al.13
1039,AB5,La1Mn0.2Al0.15Ni4.65,1.5,38.8,20.0,0.6,"Verbetsky, 1989",1529.0,,,,LaNi4.65Mn0.2Al0.15
1040,AB5,La1Al0.4Ni4.6,6.2,-38.5,20.0,0.3,"Mordkovich, 1992",666.0,,,,LaNi4.6Al.4
1041,AB5,La1Al0.4Ni4.6,1.38,36.4,48.0,0.64,"Mendelsoh, 1979",265.0,,,,LaNi4.6Al.4
1042,AB5,La1Mn0.1Cu0.3Ni4.6,1.4,32.0,35.0,1.0,"Ganich, 1999",1521.0,,,,LaNi4.6Cu0.3Mn0.1
1043,AB5,La1Ga0.4Ni4.6,0.45,35.0,20.0,0.3,"Mendlesohn, 1978",116.0,,,,LaNi4.6Ga.4
1044,AB5,La1Ni4.6Ge0.4,1.2,34.3,30.0,0.78,"Mendlesohn, 1979",486.0,,,,LaNi4.6Ge.4
1045,AB5,La1Ni4.6Ge0.4,1.1,34.0,100.0,8.0,"Luo, 2002",1514.0,,,,LaNi4.6Ge0.4
1046,AB5,La1In0.4Ni4.6,1.2,39.8,20.0,0.05,"Mendlesohn, 1978",116.0,,,,LaNi4.6In.4
1047,AB5,La1Mn0.4Ni4.6,1.4,-65.0,50.0,0.4,"Bagchi, 1997",1167.0,,,,LaNi4.6Mn.4
1048,AB5,La1Mn0.4Ni4.6,1.49,39.4,25.0,0.15,"Lundin, 1978",272.0,,,,LaNi4.6Mn.4
1049,AB5,La1Mn0.4Ni4.6,23.5,-27.8,40.0,0.31,"Joubert, 2000",1512.0,,,,LaNi4.6Mn0.4
1050,AB5,La1Si0.4Ni4.6,1.0,35.6,30.0,0.67,"Mendlesohn, 1979",486.0,,,,LaNi4.6Si.4
1051,AB5,La1Si0.4Ni4.6,1.0,-45.2,25.0,1.2,"Ting, 1998",864.0,Gas atomized,,,LaNi4.6Si.4
1052,AB5,La1Si0.4Ni4.6,1.0,34.2,100.0,12.0,"Luo, 2002",1514.0,,,,LaNi4.6Si0.4
1053,AB5,La1Ni4.6Sn0.4,1.26,38.5,20.0,0.08,"Mendlesoh, 1978",116.0,,,,LaNi4.6Sn.4
1054,AB5,La1Ni4.6Sn0.4,1.1,38.2,100.0,4.0,"Luo, 2002",1514.0,,,,LaNi4.6Sn0.4
1055,AB5,La1Al0.25Ni4.75,1.4,-45.3,50.0,1.0,"Nakamura, 2000",1207.0,,,,LaNi4.75Al.25
1056,AB5,La1Al0.25Ni4.75,1.2,33.7,35.0,1.2,"Filatova, 1999",1522.0,,,,LaNi4.75Al0.25
1057,AB5,La1Ni4.75Sn0.25,1.3,-45.3,25.0,0.4,"Ting, 1998",864.0,,Gas atomized + annealed,,LaNi4.75Sn.25
1058,AB5,La1Ni4.75Sn0.25,1.3,-41.2,23.0,0.6,"Bowman, 1997",642.0,Gas atomized,,,LaNi4.75Sn.25
1059,AB5,La1Al0.3Ni4.7,1.37,29.7,50.0,1.2,"Groll, 1989",266.0,,,,LaNi4.7Al.3
1060,AB5,La1Al0.3Ni4.7,1.44,34.0,25.0,0.42,"Huston, 1980",77.0,,,,LaNi4.7Al.3
1061,AB5,La1Al0.3Ni4.7,1.3,34.9,20.0,0.7,"Verbetsky, 1989",1529.0,,,,LaNi4.7Al0.3
1062,AB5,La1Al0.3Ni4.7,1.4,-40.5,40.0,0.63,"Joubert, 2000",1512.0,,,,LaNi4.7Al0.3
1063,AB5,La1Ni4.7Ge0.3,1.3,-15.8,23.0,0.7,"Witham, 1996",511.0,,,,LaNi4.7Ge.3
1064,AB5,La1Mn0.3Ni4.7,1.4,36.2,20.0,0.9,"Verbetsky, 1989",1529.0,,,,LaNi4.7Mn0.3
1065,AB5,La1Si0.3Ni4.7,1.1,33.8,25.0,1.0,"Meli, 1992",674.0,,,,LaNi4.7Si.3
1066,AB5,La1Si0.3Ni4.7,1.1,-45.2,27.0,0.5,"Srivastava, 1998",817.0,,,,LaNi4.7Si.3
1067,AB5,La1Ni4.7Sn0.3,1.2,-15.2,45.0,0.48,"Hightower, 1998",1166.0,,annealed,,LaNi4.7Sn.3
1068,AB5,La1Ni4.7Sn0.3,1.37,-12.5,25.0,0.3,"Goodell, 1980",256.0,,,,LaNi4.7Sn.3
1069,AB5,La1Si0.25Ni4.82,1.6,-94.5,20.0,1.1,"Jain, 2002",1534.0,,,,LaNi4.82Si0.25
1070,AB5,La1Ni4.84Sn0.32,1.2,-36.2,38.0,0.7,"Vogt, 1999",1178.0,,,,LaNi4.84Sn.32
1071,AB5,La1In0.15Ni4.85,26.3,31.8,30.0,0.78,"Mendlesohn, 1980",487.0,,,,LaNi4.85In.15
1072,AB5,La1Ni4.8C0.2,1.4,-56.3,25.0,2.0,"Goodell, 1980",256.0,,,,LaNi4.8C.2
1073,AB5,La1Fe0.2Ni4.8,1.3,-22.5,50.0,6.0,"Nakamura, 1996",631.0,,,,LaNi4.8Fe.2
1074,AB5,La1Fe0.2Ni4.8,1.5,-35.2,50.0,7.0,"Nakamura, 1998",816.0,,,,LaNi4.8Fe.2
1075,AB5,La1Ni4.8Sn0.2,1.4,-56.2,25.0,0.5,"Cantrell, 1994",589.0,,,,LaNi4.8Sn.2
1076,AB5,La1Ni4.8Sn0.2,1.4,29.4,25.0,0.8,"Zhang, 1996",679.0,,,,LaNi4.8Sn.2
1077,AB5,La1Ni4.8Sn0.2,1.4,32.8,25.0,0.47,"Luo, 1995",275.0,,,,LaNi4.8Sn.2
1078,AB5,La1Ni4.8Sn0.2,1.2,33.5,35.0,1.1,"Filatova, 1999",1522.0,,,,LaNi4.8Sn0.2
1079,AB5,La1In0.07Ni4.93,0.52,35.2,30.0,1.37,"Mendlesohn, 1980",487.0,,,,LaNi4.93In.07
1080,AB5,La1Ni4.95Sn0.05,1.2,-35.2,100.0,10.7,"Luo, 1997",640.0,,,,LaNi4.95Sn.05
1081,AB5,La1Ni4.95Sn0.05,1.3,32.0,100.0,14.0,"Luo, 1998",815.0,,,,LaNi4.95Sn.05
1082,AB5,La1Al0.1Ni4.9,1.5,-38.5,25.0,1.2,"Goodell, 1980",256.0,,,,LaNi4.9Al.1
1083,AB5,La1Al0.1Ni4.9,4.2,-27.8,40.0,2.23,"Joubert, 2000",1512.0,,,,LaNi4.9Al0.1
1084,AB5,La1Al0.1Ni4.9,1.4,33.0,35.0,1.5,"Filatova, 2001",1527.0,,,,LaNi4.9Al0.1
1085,AB5,La1Mn0.1Ni4.9,1.4,29.0,35.0,1.5,"Ganich, 1999",1521.0,,,,LaNi4.9Mn0.1
1086,AB5,La1Ni4.9Sn0.1,1.3,32.0,35.0,2.1,"Filatova, 2001",1527.0,,,,LaNi4.9Sn0.1
1087,AB5,LaNi4Ag,1.1,-28.5,40.0,2.4,"Van Mal, 1974",98.0,,,,LaNi4Ag
1088,AB5,LaAlNi4,1.0,-52.0,150.0,1.2,"Yartys, 1982",1519.0,,Deuterium,,LaNi4Al
1089,AB5,LaAlNi4,1.1,-45.8,20.0,0.001,"Sakai, 1990",570.0,,,,LaNi4Al
1090,AB5,La1Al0.5Cu0.5Ni4,1.4,40.0,22.0,0.09,"Burnasheva, 1984",1528.0,,,,LaNi4Al0.5Cu0.5
1091,AB5,LaCoNi4,1.4,-23.5,40.0,1.2,"Van Mal, 1974",98.0,,,,LaNi4Co
1092,AB5,LaCoNi4,7.8,-65.3,25.0,1.0,"Percheron, 1994",269.0,,,,LaNi4Co
1093,AB5,LaCoNi4,2.5,-65.0,25.0,1.0,"Latroche, 1998",813.0,,,,LaNi4Co (M)
1094,AB5,La1Al0.4Co0.6Ni4,1.5,-37.2,60.0,8.0,"Mishima, 1963",605.0,(Rapidly solidified),,,LaNi4Co.6Al.4
1095,AB5,LaCrNi4,0.54,34.0,25.0,0.04,"Misawa, 1979",118.0,,,,LaNi4Cr
1096,AB5,LaCrNi4,0.8,-45.2,20.0,0.3,"Sakai, 1990",570.0,,,,LaNi4Cr
1097,AB5,LaCrNi4,1.1,-75.3,40.0,0.9,"Van Mal, 1974",98.0,,,,LaNi4Cr
1098,AB5,LaCuNi4,15.3,-15.8,40.0,1.83,"Joubert, 2000",1512.0,,,,LaNi4Cu
1099,AB5,LaCuNi4,1.0,33.9,60.0,4.0,"Mendelsohn, 1977",168.0,,,,LaNi4Cu
1100,AB5,LaCuNi4,1.2,-30.5,20.0,0.5,"Sakai, 1990",570.0,,,,LaNi4Cu
1101,AB5,LaCuNi4,1.32,-45.2,40.0,1.6,"Van Mal, 1974",98.0,,,,LaNi4Cu
1102,AB5,LaFeNi4,17.8,-52.3,40.0,0.97,"Joubert, 2000",1512.0,,,,LaNi4Fe
1103,AB5,LaFeNi4,0.8,34.5,40.0,0.11,"Misawa, 1979",118.0,(+ Fe2.5),,,LaNi4Fe
1104,AB5,LaFeNi4,1.0,-45.3,40.0,1.1,"Van Mal, 1974",98.0,,,,LaNi4Fe
1105,AB5,La1Fe0.5Cu0.5Ni4,1.3,36.1,22.0,0.48,"Burnasheva, 1984",1528.0,,,,LaNi4Fe0.5Cu0.5
1190,AB5,Ca0.5La0.4Ce0.2Mn0.4Al0.3Co0.75Ni3.55,1.2,-75.2,22.0,0.1,"Visintin, 1996",633.0,,,,La.4Ce.2Ca.5Ni3.55Co.75Mn.4Al.3
1191,AB5,La0.5Ce0.4Ti0.1Mn0.36Al0.27Cr0.6Fe0.6Cu0.6Ni3.77,1.2,-96.5,30.0,0.5,"Hu, 1999",1190.0,,,sloping plateau,La.5Ce.4Ti.1Ni3.77(CuFeCr).6Mn.36Al.27
1192,AB5,La0.65Pr0.15Nd0.2Mn0.4Al0.3Co0.75Ni3.55,1.4,-45.2,23.0,0.5,"Zhang, 1998",1183.0,,,sloping plateau,La.65Nd.2Pr.15Ni3.55Co.75Mn.4Al.3
1193,AB5,Ca0.4La0.6Ni5,1.7,-45.2,38.0,1.1,"Shinar, 1978",113.0,(+ other Ca levels),,,La.6Ca.4Ni5 (M)
1194,AB5,La0.6Ce0.4Mn0.36Al0.27Cr0.6Fe0.6Cu0.6Ni3.77,1.3,-45.8,30.0,0.2,"Hu, 1999",1190.0,,,sloping plateau,La.6Ce.4Ni3.77(CuFeCr).6Mn.36Al.27
1195,AB5,La0.6Ce0.4Mn0.36Al0.27Co0.6Ni3.77,1.4,-75.8,30.0,0.5,"Hu, 1999",1190.0,,,sloping plateau,La.6Ce.4Ni3.77Co.6Mn.36Al.27
1196,AB5,La0.7Sm0.3Fe1Ni4,1.15,-45.2,50.0,6.0,"Nakamura, 1996",631.0,,,,La.7Sm.3Ni4Fe
1197,AB5,La0.7Sm0.3Fe1Ni4,1.3,-110.5,50.0,6.0,"Nakamura, 1998",816.0,,,,La.7Sm.3Ni4Fe
1198,AB5,Ba0.2La0.8Ni5,1.3,-36.5,25.0,3.0,"Goodell, 1980",256.0,,,,La.8Ba.2Ni5
1199,AB5,Ca0.2La0.8Ni5,1.6,-45.2,25.0,1.5,"Goodell, 1980",256.0,,,,La.8Ca.2Ni5
1200,AB5,Ca0.1La0.8Ce0.2Mn0.4Al0.3Co0.75Ni3.55,1.45,-45.2,22.0,0.1,"Visintin, 1996",633.0,,,,La.8Ce.2Ca.1Ni3.55Co.75Mn.4Al.3
1201,AB5,La0.8Ce0.2Co0.5Ni4.25Sn0.25,1.2,38.2,25.0,0.8,"Zhang, 1996",679.0,,,,La.8Ce.2Ni4.25Co.5Sn.25
1202,AB5,La0.8Ce0.2Ni4.8Sn0.25,1.2,32.4,25.0,1.1,"Zhang, 1996",679.0,,,,La.8Ce.2Ni4.8Sn.25
1203,AB5,La0.8Ce0.2Ni4.8Sn0.25,1.3,-45.2,25.0,1.1,"Kumar, 1995",263.0,,,,La.8Ce.2Ni4.8Sn.25
1205,AB5,La0.8Er0.2Ni5,1.45,-45.6,40.0,11.0,"Van Mal, 1974",98.0,,,,La.8Er.2Ni5 (M)
1206,AB5,La0.8Gd0.2Ni5,1.5,-35.2,40.0,8.9,"Van Mal, 1974",98.0,,,,La.8Gd.2Ni5
1207,AB5,La0.8Nd0.2Co2.5Si0.1Ni2.4,1.3,-45.3,20.0,0.2,"Notten, 1995",412.0,,,,La.8Nd.2Ni2.4Co2.5Si.1
1208,AB5,La0.8Nd0.2Ni5,1.5,-48.5,40.0,5.7,"Van Mal, 1974",98.0,,,,La.8Nd.2Ni5
1209,AB5,Sr0.2La0.8Ni5,1.48,-42.5,25.0,1.7,"Goodell, 1980",256.0,,,,La.8Sr.2Ni5
1210,AB5,La0.8Th0.2Ni5,1.41,-62.5,40.0,17.0,"Van Mal, 1974",98.0,,,,La.8Th.2Ni5
1211,AB5,La0.8Y0.2Mn0.2Ni4.8,1.6,-45.6,25.0,0.38,"Nasako, 1998",811.0,,,,La.8Y.2Ni4.8Mn.2
1212,AB5,La0.8Y0.2Mn0.2Ni4.8,1.4,-24.5,0.0,1.1,"Nakamura, 1996",450.0,,,,La.8Y.2Ni4.8Mn.2
1213,AB5,La0.8Y0.2Ni5,1.5,-45.3,40.0,10.0,"Van Mal, 1974",98.0,,,,La.8Y.2Ni5
1214,AB5,La0.8Zr0.2Ni5,1.3,-38.5,40.0,6.0,"Van Mal, 1974",98.0,,,,La.8Zr.2Ni5
1215,AB5,La0.9Mg0.1Ni5,1.4,-76.2,25.0,2.3,"Goodell, 1980",256.0,,,,La.9Mg.1Ni5
1216,AB5,La0.9Pr0.05Nd0.05Mn0.4Al0.3Co0.65Ni3.5,1.3,-45.8,50.0,0.2,"Willey, 1999",1192.0,,,sloping plateau,La.9Nd.05Pr.05Ni3.5Co.65Al.3Mn.4
1217,AB5,La0.13Ce0.35Pr0.52Co5,0.8,40.0,50.0,3.6,"Sarynin, 1981",1526.0,,,,La0.13Ce0.35Pr0.52Co5
1218,AB5,La0.1Ce0.9Co5,0.6,41.0,20.0,0.84,"Burnasheva, 1978",1518.0,,,,La0.1Ce0.9Co5
1219,AB5,La0.2Ce0.8Co5,0.6,44.0,20.0,0.72,"Burnasheva, 1978",1518.0,,,,La0.2Ce0.8Co5
1220,AB5,La0.2Pr0.8Co5,0.7,38.0,20.0,0.23,"Burnasheva, 1978",1517.0,,,Lower plateau,La0.2Pr0.8Co5 (M)
1222,AB5,La0.4Ce0.6Co5,0.6,38.0,20.0,0.65,"Burnasheva, 1978",1518.0,,,,La0.4Ce0.6Co5
1223,AB5,La0.4Pr0.6Co5,0.9,29.0,20.0,17.0,"Burnasheva, 1978",1517.0,,,Upper plateau,La0.4Pr0.6Co5 (M)
1224,AB5,La0.5Ce0.5Ni5,1.3,-45.8,25.0,10.0,"Joubert, 2000",1512.0,,,,La0.5Ce0.5Ni5
1225,AB5,La0.65Ce0.28Pr0.07Co5,1.0,47.0,50.0,1.1,"Sarynin, 1981",1526.0,,,,La0.65Ce0.28Pr0.07Co5
1226,AB5,La0.66Ce0.2Pr0.14Co5,1.0,41.0,50.0,0.9,"Sarynin, 1981",1526.0,,,,La0.66Ce0.2Pr0.14Co5
1227,AB5,La0.6Pr0.4Co5,0.9,43.0,20.0,0.17,"Burnasheva, 1978",1517.0,,,Lower plateau,La0.6Pr0.4Co5 (M)
1228,AB5,La0.75Ce0.25Al0.2Cu0.8Ni4,1.4,33.5,22.0,0.7,"Petrova, 1989",1520.0,,,,La0.75Ce0.25Ni4Cu0.8Al0.2
1229,AB5,La0.75Ce0.25Al0.1Cu0.9Ni4,1.4,32.9,22.0,1.0,"Petrova, 1989",1520.0,,,,La0.75Ce0.25Ni4Cu0.9Al0.1
1230,AB5,La0.75Ce0.25Ti0.1Cu0.9Ni4,1.4,38.4,22.0,1.1,"Petrova, 1989",1520.0,,,,La0.75Ce0.25Ni4Cu0.9Ti0.1
1231,AB5,La0.75Pr0.25Al0.2Cu0.3Ni4.5,1.4,34.2,22.0,0.8,"Petrova, 1989",1520.0,,,,La0.75Pr0.25Ni4.5Cu0.3Al0.2
1232,AB5,La0.7Ce0.3Co5,0.7,42.0,20.0,0.17,"Burnasheva, 1978",1518.0,,,Lower plateau,La0.7Ce0.3Co5 (M)
1233,AB5,La0.8Ce0.2Co5,0.8,34.0,20.0,0.18,"Burnasheva, 1978",1518.0,,,,La0.8Ce0.2Co5
1234,AB5,La0.8Pr0.2Co5,0.9,38.0,20.0,0.11,"Burnasheva, 1978",1517.0,,,Lower plateau,La0.8Pr0.2Co5 (M)
1235,AB5,La1.02Ni4.75Sn0.25,1.2,-46.8,27.0,0.38,"Bowman, 2002",1513.0,,,,La1.02Ni4.75Sn0.25
1244,AB5,La1Mn0.05Co4.95,1.6,-55.2,21.0,0.05,"Klyamkin, 1993",587.0,,,,LaCo4.95Mn.05 (M)
1245,AB5,LaCo5,0.8,42.4,450.0,1.2,"Shilov, 1983",531.0,,,,LaCo5
1246,AB5,LaCo5,1.0,-80.5,105.0,1.0,"Shilov, 1981",530.0,,,,LaCo5
1248,AB5,LaCo5,0.99,40.0,50.0,0.2,"Kuijpers, 1972",96.0,,,,LaCo5 (M)
1249,AB5,LaCo5,1.0,42.3,30.0,0.06,"Ishikawa, 2002",1510.0,,,,LaCo5 (M)
1250,AB5,LaCo5,1.1,-35.6,40.0,0.08,"Patrikeev, 1984",505.0,,,,LaCo5 (M)
1251,AB5,LaCo5,1.9,-45.2,21.0,0.05,"Lakner, 1976",166.0,,,,LaCo5 (M)
1252,AB5,LaCu5,0.55,-35.2,78.0,2.0,"Shinar, 1978",131.0,,,,LaCu5
1253,AB5,LaCu5,0.7,-22.3,25.0,0.3,"Takeshita, 1980",503.0,,,,LaCu5
1254,AB5,LaCu5,0.8,42.7,101.0,5.0,"Spada, 1987",255.0,,,,LaCu5
1255,AB5,LaFe5,0.6,-54.3,100.0,1.0,"Reilly, 1972",195.0,,,,LaFe5
1256,AB5,La1Co2.5Ni2.5,1.0,-45.2,20.0,0.14,"Sakai, 1990",570.0,,,,LaNi2.5Co2.5
1257,AB5,La1Co2.5Ni2.5,1.2,-40.5,30.0,0.1,"Uchida, 1995",413.0,,,,LaNi2.5Co2.5 (M)
1258,AB5,LaCu3Ni2,0.9,32.0,35.0,1.1,"Ganich, 1999",1523.0,,,,LaNi2Cu3
1259,AB5,LaFe(CuNi)2,1.1,36.9,22.0,0.55,"Burnasheva, 1984",1528.0,,,,LaNi2FeCu2
1260,AB5,La1Mn0.4Al0.3Co0.75Ni3.55,4.2,-45.8,25.0,0.02,"Percheron, 1994",269.0,,,,LaNi3.55Co.75Mn.4Al.3
1261,AB5,La1Mn0.4Al0.3Co0.75Ni3.55,1.3,-75.2,25.0,0.2,"Joubert, 1998",1186.0,,,,LaNi3.55Mn.4Al.3Co.75
1262,AB5,La1Mn0.4Al0.3Co0.75Ni3.55,4.7,-45.8,40.0,0.038,"Joubert, 2000",1512.0,,,,LaNi3.55Mn0.4Al0.3Co0.75
1263,AB5,La1Mn0.4Al0.3Co0.75Ni3.55,1.2,-35.2,25.0,0.02,"Latroche, 1998",813.0,,,,LaNi3.55Mn0.4Al0.3Co0.75
1264,AB5,La1Mn1.5Ni3.5,1.1,-45.2,100.0,0.3,"Bagchi, 1997",1167.0,,,,LaNi3.5Mn1.5
1265,AB5,La1Mn0.4Co0.75Ni3.85,22.5,-20.5,40.0,0.24,"Joubert, 2000",1512.0,,,,LaNi3.85Mn0.4Co0.75
1267,AB5,La1Al0.98Ni3.92,1.1,42.0,250.0,5.0,"Ivanova, 1997",639.0,,,,LaNi3.92Al.98
1268,AB5,La1Mn0.4Al0.3Co0.36Ni3.94,15.2,-45.2,40.0,0.047,"Joubert, 2000",1512.0,,,,LaNi3.94Mn0.4Al0.3Co0.36
1269,AB5,La1Al0.3Co0.75Ni3.95,1.4,-20.5,40.0,0.3,"Joubert, 2000",1512.0,,,,LaNi3.95Al0.3Co0.75
1271,AB5,LaAlCuNi3,1.0,-45.2,60.0,0.2,"Burnasheva, 1984",1528.0,,,Sloping plateau,LaNi3AlCu
1272,AB5,LaCo2Ni3,11.8,-12.5,40.0,0.5,"Joubert, 2000",1512.0,,,,LaNi3Co2
1273,AB5,LaCo2Ni3,1.5,-45.2,25.0,0.23,"Goodell, 1980",256.0,,,,LaNi3Co2
1274,AB5,La1Cr0.5Cu1.5Ni3,1.1,35.5,22.0,0.62,"Burnasheva, 1984",1528.0,,,,LaNi3Cr0.5Cu1.5
1275,AB5,LaCu2Ni3,1.1,33.0,35.0,1.8,"Ganich, 1999",1523.0,,,,LaNi3Cu2
1277,AB5,LaMnNi4,1.2,-45.2,20.0,0.02,"Sakai, 1990",570.0,,,,LaNi4Mn
1278,AB5,LaNi5,28.5,-102.5,22.0,2.0,"Kisi, 1994",675.0,,,,LaNi5
1279,AB5,LaNi5,1.4,29.1,20.0,1.7,"Zhang, 1989",262.0,(Chemically recovered),,,LaNi5
1280,AB5,LaNi5,1.4,29.5,21.0,1.5,"Shilov, 1988",672.0,,,,LaNi5
1281,AB5,LaNi5,1.4,-5.8,50.0,4.5,"Nakamura, 2000",1207.0,,,,LaNi5
1282,AB5,LaNi5,20.5,37.7,0.0,0.4,"Mikheeva, 1976",668.0,,,,LaNi5
1283,AB5,LaNi5,1.4,29.7,0.0,0.5,"Mikheeva, 1976",668.0,,,,LaNi5
1284,AB5,LaNi5,1.5,-32.5,25.0,1.7,"Goodell, 1980",256.0,,,,LaNi5
1285,AB5,LaNi5,1.5,31.8,15.0,1.0,"Murray, 1981",261.0,,,,LaNi5
1286,AB5,LaNi5,1.5,-10.8,23.0,1.7,"Bowman, 1997",642.0,Gas atomized,,,LaNi5
1287,AB5,LaNi5,1.5,30.2,25.0,1.7,"Luo, 1998",815.0,,,,LaNi5
1288,AB5,LaNi5,1.5,-50.2,40.0,3.35,"Joubert, 2000",1512.0,,,,LaNi5
1289,AB5,LaNi5,1.5,30.8,25.0,1.8,"Lundin, 1975",260.0,,,,LaNi5
1290,AB5,LaNi5,1.5,-45.0,50.0,4.0,"Oesterreicher, 1976",524.0,,,,LaNi5
1291,AB5,LaNi5,1.5,-20.5,-78.0,0.007,"Andreev, 1984",508.0,,,,LaNi5
1292,AB5,LaNi5,1.5,28.5,-55.0,0.06,"Andreev, 1978",670.0,Low temperature data,,,LaNi5
1293,AB5,LaNi5,1.5,30.1,21.0,2.4,"van Vucht, 1970",93.0,,,,LaNi5
1294,AB5,LaNi5,1.8,30.1,-40.0,0.1,"Semenenko, 1977",504.0,,,,LaNi5
